max_table_score,mean_table_score,median_table_score
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.9,0.3057143,0.3
0.9,0.3057143,0.3
0.9,0.3057143,0.3
0.9,0.3057143,0.3
1,0.325,0.3
1,0.325,0.3
1,0.325,0.3
1,0.325,0.3
1,0.325,0.3
1,0.3432433,0.3
1,0.3605263,0.3
1,0.3538462,0.3
1,0.3538462,0.3
2,0.4333333,0.35
2,0.4348837,0.4
2,0.4386364,0.4
2,0.4444445,0.4
2,0.4574468,0.4
2,0.4666667,0.4
2,0.4755102,0.4
2,0.474,0.4
2,0.4784314,0.4
2,0.4846154,0.45
2,0.4754717,0.4
2,0.4740741,0.4
2,0.48,0.4
2,0.4767857,0.4
2,0.4807017,0.4
2,0.4827586,0.45
2,0.4864407,0.5
2,0.48,0.45
2,0.4803279,0.5
2,0.4803279,0.5
2,0.4774193,0.45
2,0.4774193,0.45
2,0.4777778,0.5
2,0.4777778,0.5
2,0.48125,0.5
2,0.483077,0.5
2,0.483077,0.5
2,0.4833333,0.5
2,0.4820896,0.5
2,0.482353,0.5
2,0.4898551,0.5
2,0.5014085,0.5
2,0.510959,0.5
2,0.5135136,0.5
2,0.5135136,0.5
3,0.5447369,0.5
3,0.5447369,0.5
3,0.5636364,0.5
3,0.5653847,0.5
3,0.564557,0.5
3,0.5675001,0.5
3,0.5728396,0.5
3,0.5743903,0.5
3,0.5783134,0.5
3,0.584706,0.5
3,0.5813954,0.5
3,0.5897728,0.5
3,0.5887641,0.5
3,0.6155556,0.5
3,0.613187,0.5
3,0.6097827,0.5
3,0.6064517,0.5
3,0.6085107,0.5
3,0.6085107,0.5
3,0.6126317,0.5
3,0.6125001,0.5
3,0.6123712,0.5
3,0.6102042,0.5
3,0.6141415,0.5
3,0.6170001,0.55
3,0.6300001,0.6
3,0.6390001,0.6
3,0.6430001,0.6
3,0.6510001,0.6
3,0.6600001,0.6
3,0.6600001,0.6
3,0.6600001,0.6
3,0.6600001,0.6
3,0.6600001,0.6
3,0.6960002,0.6
3,0.6960002,0.6
3,0.7020001,0.6
3,0.7090001,0.6
3,0.7220001,0.6
3,0.7280001,0.6
3,0.7380001,0.65
3,0.7430001,0.65
3,0.7480001,0.65
3,0.7600002,0.7
3,0.7630001,0.7
3,0.7650001,0.7
3,0.7830001,0.7
3,0.7830001,0.7
3,0.7830001,0.7
3,0.785,0.7
3,0.785,0.7
3,0.798,0.7
3,0.798,0.7
4,0.8559998,0.7
4,0.8569998,0.7
4,0.8569998,0.7
4,0.8749998,0.7
4,0.8759997,0.7
4,0.8799998,0.7
4,0.8839998,0.7
4,0.8869997,0.7
4,0.8869997,0.7
4,0.8879997,0.7
4,0.8879997,0.7
4,0.8909997,0.7
4,0.8909997,0.7
4,0.8929996,0.7
4,0.8939996,0.7
4,0.8989996,0.7
4,0.8989996,0.7
4,0.8989996,0.7
4,0.9159996,0.75
4,0.9179996,0.75
4,0.9179996,0.75
4,0.9179996,0.75
4,0.9179996,0.75
4,0.9229996,0.8
4,0.9229996,0.8
4,0.9229996,0.8
4,0.9229996,0.8
4,0.9309996,0.8
4,0.9379995,0.8
4,0.9439995,0.8
4,0.9469996,0.8
4,0.9489996,0.8
4,0.9509995,0.8
4,0.9509995,0.8
4,0.9539996,0.8
4,0.9559996,0.8
4,0.9569995,0.8
4,0.9569995,0.8
4,0.9569995,0.8
4,0.9569995,0.8
4,0.9569995,0.8
4,0.9609995,0.8
4,0.9649996,0.8
4,0.9649996,0.8
4,0.9659995,0.8
4,0.9829995,0.8
4,0.9829995,0.8
4,0.9909995,0.9
4,0.9909995,0.9
4,0.9909995,0.9
4,0.9969996,0.9
4,0.9999996,0.9
4,0.9999996,0.9
4,1.005,0.9
4,1.007,0.9
4,1.009,0.9
4,1.01,0.9
4,1.034,0.9
4,1.035,0.9
4,1.039,0.9
4,1.039,0.9
4,1.039,0.9
4,1.039,0.9
4,1.039,0.9
4,1.039,0.9
4,1.039,0.9
4,1.042,0.9
4,1.042,0.9
4,1.042,0.9
4,1.042,0.9
4,1.046,0.9
4,1.049,0.9
4,1.049,0.9
4,1.063,0.9
4,1.063,0.9
4,1.066,0.9
4,1.066,0.9
4,1.066,0.9
